product_id,product_name,category_name,category_description,selling_price,product_description
FAC981BD,"""NFL Drive Collection"" Party Table Decorating Kit",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",8.34,"Green/brown paper construction | Measures 1 lg centerpiece, 12..68"" 2 sm centerpieces, 7"" 20 pcs. of confetti, 2"" | Great for sports-themed party and celebration | Matches our other items in the ""NFL Drive"" collection"
0327B599,"12 White Vampire Fangs, Plastic Teeth, Costume Accessory Party Favors","Clothing, Shoes & Jewelry | Girls",Costumes & Accessories | Kids & Baby | Girls,4.44,Synthetic | Pack of 12 | Made of flexible white plastic | Fun for dress up or Halloween | Use in a goody bag or as a prize
26E74FCC,"21st ""Happy Birthday"" Flashing Tiara",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",14.04,"1 tiara | Pink ""The Princess is 21"" plastic flashing tiara with Marabou | This confidence that this tiara gives is the same as your new age gives | Wear for 21st birthdays"
BD0047EF,25 Assorted Magic: The Gathering Mythic Rares,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,24.99,25 Mythic Rares in each lot | No duplication within each lot
FF6DA764,"9"" SOCCER BALL INFLATE",Toys & Games | Sports & Outdoor Play,Toy Sports | Pools & Water Toys | Play Sets | Misc. Outdoor Items,8.02,"Plastic | Imported | Rhode Island Novelty 9"" Soccer Ball Inflates | One dozen per order | Inflates sold deflated | Favorite among soccer enthusiasts and beach bums alike | For ages 3+"
4933815,A&R Stryker Waxed Hockey Skate Laces,Sports & Outdoors | Sports & Fitness,Leisure Sports & Game Room | Outdoor Games & Activities | Hunting & Fishing | Other Sports,1.81,Synthetic | 100% Authentic | Brand New | Durable | Original Packaging
657263B4,"Air Zone 20"" Rhino BMX Freestyle Bike",Sports & Outdoors | Outdoor Recreation,Cycling | Kids' Bikes & Accessories,149.99,Freestyle rotor | Cool chrome finish | Front and rear pegs | Front and rear u-brakes | 48 spoke wheels
221E1EC4,Alderac Entertainment Group Unicornus Knights,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,39.89,Cooperative adventure Game | From award-winning designers seiji kanai and kuro | Tons of replay with many heroes to play and enemies to challenge | Incredible anime art
3267BCC2,ALEX Toys Artist Studio 8 Scented Markers,Toys & Games | Arts & Crafts,"Drawing & Painting Supplies | Pencils, Erasers, Adhesives | Easels | Stickers | Jewelry",6,Each color has a different fun and delicious smell | 3.5in. magic markers | Washes off with soap and water | Includes 8 scented markers | Recommended for children 3 years of age and older
DF487A03,"Amaco Mexican Self-Hardening Clay, 5-Pound, Red",Toys & Games | Arts & Crafts,"Drawing & Painting Supplies | Pencils, Erasers, Adhesives | Easels | Stickers | Jewelry",12.95,This product is used for decorative purpose | This product is high Quality highly durable product | This product is manufactured in United States
7B039A50,American Crafts 8 Roll Washi Tape 3 Creative Devotion,Toys & Games | Arts & Crafts,"Drawing & Painting Supplies | Pencils, Erasers, Adhesives | Easels | Stickers | Jewelry",10.95,8 washi tape rolls | 5 yards of tape each | Enhance your bible study always | Country of Origin: China
B3B819A1,Americana Souvenirs and Gifts The 50'S Jigsaw Puzzle (750-Piece),Toys & Games | Learning & Education,Musical Instruments | Reading & Writing | Telescope | Counting & Math Toys | Puzzles,14.99,"Relive the 1950's | Premium quality Jigsaw Puzzle! | 18"" x 24"" finished size"
42B0DBB7,"amscan ""PJ Masks Mega Mix Value Pack Favors, Party Favor",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",15.95,"48 party favors | Red, blue and green plastic """"PJ masks"""" Party favors | Perfect game prizes for a themed celebration | Collect a bunch of these for parties and fun occasions"
76BD8238,"Amscan 380064 Baby Shower Statistics Sheet, 40""x30"", Multicolor",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",10.97,"1 sheet per pack, measures 40"" x 30"" | Multicolored baby shower statistics sheet with multiple design and border | Perfect for baby showers and baby announcements | Match with other baby decorations"
862135DD,"Amscan 4547.1049999999996 Party Supplies, 20 pieces, Bright Royal Blue",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",5.5,"20 plastic spoons per package | Food safe plastic | Durable, washable, and reusable | Elegant and classy, will enhance any table setting"
E94E2344,"Amscan 8001.40 Plastic Spoons Party Supplies, One Size, Red",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",6.85,"20 spoons per pack | Food-grade durable plastic | Sturdier than most standard spoons | Perfect for parties, events and every other occasion"
D67A78FD,amscan Antler Glitter Plastic Fun Shades | Christmas Favor,"Clothing, Shoes & Jewelry | Women",Novelty & More | Clothing | Novelty | Women,6.99,One size fits most adult | Made of quality plastic | Features gold glitter frame with gleaming brown antlers on sides | Perfect gift to match with your holiday outfit
DFF62556,Amscan Black Cowboy Moustache - Wacky Facial Hair Costume Accessory,Toys & Games | Dress Up,"Pretend Play | Wigs, Masks, Accessories | Costumes | Kitchen Playsets",11.7,"1 Facial hair set | Fits most teens and adults | Self adhesive black synthetic moustache | For fun and wacky entertainment, masquerade parties or stage perfomances"
FA49E025,amscan Christmas Red Snowflake Fling Bin | Party Supply,Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",9.26,"Easy 1-step set up. Just pop it out and place anywhere | Perfect for parties, celebrations or picnics | 22""H x 15""W x 10""D | Capacity - 13 Gallons"
0D446D35,"Amscan Glamourous Party Wig Costume, White",Toys & Games | Dress Up,"Pretend Play | Wigs, Masks, Accessories | Costumes | Kitchen Playsets",15.63,"100% Synthetic fiber | One size | Perfect for adding an extra boost of color to game days, costume parties, mardi gras or any party | Complement any costume with this white glamourous wig"
66D9C7DB,Amscan Halloween Boo‑Yah! Yd Signs,Home & Kitchen | Home Décor ,Home Décor | Kids' Room Décor | Lamps & Lighting | Bedding & More,9.89,4 in a package
8D028E8F,"amscan Pimp Playa Jacket - Adult Standard, Light Brown",Toys & Games | Dress Up,"Pretend Play | Wigs, Masks, Accessories | Costumes | Kitchen Playsets",29.95,"1 jacket | Fits most teens and adults | Brown fabric with leopard print finish on the lapels and pockets | Great for Halloween parties, costume parties, or themed events"
A300AD90,"Amscan Soccer Bracelets, Party Favor",Toys & Games | Dress Up,"Pretend Play | Wigs, Masks, Accessories | Costumes | Kitchen Playsets",3.55,"12 Bracelets | Measures 2.5"" | Perfect when included in loot bags or given out as welcome treats | Matches our other items in the soccer collection"
6A2D561D,amscan Soccer Championship Printed Plastic Party Table Cover,Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",6.99,1 plastic table cover | Measures 54 x 102 | Spread your table and invite your fellow fans over to celebrate your favorite team | Matches our other items in the soccer collection
9DC23875,"Amscan Soccer Large Party Bags, Party Favor",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",5.12,"20 Large party bags | Measures 11.5"" x 5"" x 3.25"" | Make sure every guest receives a bagful of team spirit | Matches our other items in the soccer collection"
BD6CC372,"Amscan Soccer Latex Balloons, Party Decoration",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",7.86,"6 Balloons, includes 2 black, 2 blue & 2 green | Measures 12"" | No better way to celebrate your sport than with a bouquet of festive balloons | Matches our other items in the soccer collection"
6E900E9B,"Amscan Suspenders, Party Accessory, Rainbow",Toys & Games | Dress Up,"Pretend Play | Wigs, Masks, Accessories | Costumes | Kitchen Playsets",8.65,"Polyester fabric and all-metal fasteners | One size | Perfect for adding an extra boost of color to game days, costume parties, mardi gras or any party | Complement any costume with these rainbow suspenders"
F7ADAF8D,amscan Thanskgiving White Pilgrim Girl Set | Party Costume,"Clothing, Shoes & Jewelry | Girls",Costumes & Accessories | Kids & Baby | Girls,5.35,Fits most child sizes | Linen fabric | Features pilgrim bonnet and apron for children | Ideal for Thanksgiving party activities
CCB61718,amscan Valentine 10 Color Plastic Pen | Party Favor,Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",6.53,"Measures 3 3/4"" | Durable plastic | Features pink and white heart patternwith 10 ink colors | Perfect addition to your Valentine's day celebration gifts and giveaways"
4832387A,"Anagram International 3085101 Go Team Megaphone Shop Balloon Pack, 29""",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",6.45,Top quality foil will float for one week with helium | Self-sealing valve seals itself during inflation | Highly durable | This product is easy to use and highly durable | Manufactured in USA
