product_id,product_name,category_name,category_description,selling_price,product_description
D42DE53D,Application Generic Biohazard Patch,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies | Sewing | Trim & Embellishments | Crafting Supplies",7.99,"Iron-On or Sew to Any Garment | Top Quality, Detailed Embroidery | Ironed-on Patches Will Not Come Off | Perfect for Jeans, Jackets, Vests, Hats, Backpacks and more!"
999829F0,Application Misfits Crystal Lake Skull Patch,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies | Sewing | Trim & Embellishments | Crafting Supplies",7.8,"Iron-On or sew to any garment | Top quality, detailed embroidery | Ironed-On patches will not come off | Perfect for jeans, jackets, vests, hats, backpacks and more!"
A05DE842,Application Sublime License Plate Patch,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies | Sewing | Trim & Embellishments | Crafting Supplies",3.45,"Iron-On or Sew to Any Garment | Top Quality, Detailed Embroidery | Ironed-on Patches Will Not Come Off | Perfect for Jeans, Jackets, Vests, Hats, Backpacks and more!"
71F43B21,Aquarius Beatles Flag Puzzle (1500 Piece),Toys & Games | Learning & Education,Musical Instruments | Reading & Writing | Telescope | Counting & Math Toys | Puzzles,18.99,Contains 1500 pieces | Measures 22 x 33 | Officially licensed
B48F385A,Aquarius DC Comics Wonder Woman Playing Cards,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,6.47,52 different images per deck | Linen type finish | Officially licensed merchandise
AFEF5D77,Aquarius DC Wonder Woman Retro Playing Cards,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,6.47,52 different images per deck | Linen type finish | Officially licensed merchandise
714D2395,Aquarius Elvis Black And White Playing Cards,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,5.99,Features 52 different images | Linen type finish | Officially poker sized | 100% officially licensed
CA1D2702,Aquarius Frosty The Snowman Playing Cards,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,9.99,Deck includes 52 different images | Cards measure 2.5 x 3.5 | Officially licensed
20D5DBF7,Aquarius Harry Potter Playing Cards,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,7.93,Contains multiple images | Cards measure 2.5 x 3.5 | Officially licensed | Cards have a linen type finish
6DAE2C63,Aquarius Marvel Black Panther Retro Playing Cards,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,7.69,Includes multiple images | Official poker size measures 2.5 x 3.5 | Officially licensed merchandise
D695D832,Aquarius Wonderful Wieners Playing Cards,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,21.5,Contains 52 different images per pack | Linen type finish | 100% officially licensed | Official poker sized at 2.5 x 3.6
60974E2B,Areaware Plywood Playing Cards,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,20.51,Interlocking slots allow the user to both build and play games with the deck | Handcrafted from Plywood Birch | Designed for Areaware by Donald Corey
A92A8F8A,Armored Black Knight,Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,11.29,Stimulate and inspire imagination of children | Hand painted | Designed in France | Extreme care taken with product quality and safety | Highly detailed and durable
C8DC74A0,ARP 2084301 Head Stud Kit,Toys & Games | Arts & Crafts,"Drawing & Painting Supplies | Pencils, Erasers, Adhesives | Easels | Stickers | Jewelry",113.74,-Used to bolt the cylinder head to the engine block.
C243771D,"Aurora 10817 8"" Tiger Plush Toy, Small, White",Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,10.61,Suitable for any and all ages. | Made from the finest quality of materials for lasting love. | 8” in size.
0FA554C4,"Aurora 8"" Pink Unicorn",Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,10.51,Suitable for all ages. | Made from the finest quality of materials for lasting love.
1D1A6A9C,"Aurora Rattlesnake Plush, Green",Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,11.51,Fine plush fabric. Soft and fluffy. 13 inches in size.
1C6ED1CA,"Aurora World 16602 8"" Tanya Plush Toy",Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,6.01,Suitable for any and all ages. | Made from the finest quality of materials for lasting love. | 8” in size.
052EB683,"Aurora World 8"" Sting Ray Toy",Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,7.74,Suitable for any and all ages. | Made from the finest quality of materials for lasting love. | 8” in size.
2BCB9F8D,"Aurora World Destination Nation Elephant Plush, 9""",Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,15.06,Measures 9 Inch long | High quality design crafted with super soft materials | Each piece is individually sprayed for realistic & special detail
107EBED1,"Aurora World Flopsie Animal Plush, White Tailed Buck",Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,13.03,"Measures 12"" long | Poly bean filling is double bagged for safety | Soft plush is great for cuddling"
903F63A9,Aurora World Flopsie Horse/Jack Plush,Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,9.79,"Measures 12"" long | Poly bean filling is double bagged for safety | Soft plush is great for cuddling"
B2C24314,Aurora World Miyoni Poodle Pup Plush,Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,14.41,"Measures 9"" long | Authentic Miyoni plush animals have realistic styling, made with superior materials and impeccable attention to detail | Silky plush and soft huggable bodies"
7E4908B4,"Aurora World Sweet and Softer 12"" Rocky Raccoon",Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,24.99,Silky soft fur | All new style | Exceptional quality | country of origin:China and Indonesia
491835C8,Aurora World YooHoo and Friends Naree Plush,Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,6.65,"Measures 5"" tall | Made with top quality materials for softness, safety, and durability | YooHoo characters are based on real animals found all around the world | country of origin:China and Indonesia"
68C9F01B,Automoblox T900 Rescue Truck,Toys & Games | Vehicles,"Play Vehicles | Toy Vehicles, Die-Cast Vehicles | Tricycles, Scooters & Wagons | Ride-On Toys & Accessories",33.85,16 Mix-and-match components | One poseable next generation Automoblox figure | Made from European beech wood
89999FA7,Banpresto 39564 Dragon Ball Legends Collab Super Saiyan Gogeta Figure,Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,19.95,Officially licensed product | Base stand included | From the popular series Dragon ball | Gogeta | Anime
BC72B2AF,Banpresto Disney Characters Q Posket Petit Story of Belle(Ver.E),Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,14.99,Base Stand included
54E48698,BANZAI My Little School Tent,Toys & Games | Sports & Outdoor Play,Toy Sports | Pools & Water Toys | Play Sets | Misc. Outdoor Items,24.99,"Features school bus, outdoor and indoor classroom scenes. | Interactive window, door and peek-a-boo sunroof. | 34"" Long, 26"" Wide, 27"" High. | Perfect for indoor and outdoor play."
4C1A0DB8,"Basic Beat Small (12"") Wood Fish-Shaped Guiro",Toys & Games | Learning & Education,Musical Instruments | Reading & Writing | Telescope | Counting & Math Toys | Puzzles,14.99,Includes Scrapper | Made in Mexico | Hand painted | For ages 3 and up
24AC81DA,Basketball Game Flip Up,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,6.53,Material: Plastic Recommended Age: 4 Years and Up Quantity: 4 Color: Green/Red/YellowPurple.
00FF655D,Battlefront Miniature Tanks: Soviet Dice Set (6) Board Game,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,4.9,Contains six dice | Features Soviet National Symbol | For use with TANKS! (TANKS01)
9DAA8FDB,Beados Season 7 Shopkins Ice Cream Truck,Toys & Games | Arts & Crafts,"Drawing & Painting Supplies | Pencils, Erasers, Adhesives | Easels | Stickers | Jewelry",19.99,Loads of storage and display areas for your Beados Shopkins | Includes 400 beads!
598412EF,"Beistle 50804-P Metallic Wrapped Balloon Weights, Set of 12.",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",20.03,This item is a great value! | 12 per package | General Occasion party item | Balloon Related for festive occasions | High Quality
1E4CA3BF,Best Ride On Cars Mercedes SL63,Toys & Games | Vehicles,"Play Vehicles | Toy Vehicles, Die-Cast Vehicles | Tricycles, Scooters & Wagons | Ride-On Toys & Accessories",149.56,"Features LED lights, music and horn sound, aux, SD and sub ports | Doors open | For ages 2 to 5 years"
16684916,Bezier Games Palace of Mad King Ludwig,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,39.97,"New stand-alone game set in the same universe as the popular castles of Mad King Ludwig | For 2 to 4 players, ages 13 & up | Plays in 75 minutes"
CA9DDCAC,Big G Creative How to Rob A Bank - Board Game,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,10.19,A Heist game of foiled plans | Light strategy game | 2 – 4 players | 30 minute gameplay
FC96710D,Blade Canopy 230s (green) Blade 230s,Toys & Games | Hobbies,Remote & App Controlled Vehicles & Parts | Trains & Accessories | Electronics | Systems & Accessories | Model Kits | Misc. Hobbies,14.99,"Blade Canopy, Green: Blade 230 S, BLH1573"
6882592,Blade Landing Gear w/ Hardware White: 200 SR X,Toys & Games | Hobbies,Remote & App Controlled Vehicles & Parts | Trains & Accessories | Electronics | Systems & Accessories | Model Kits | Misc. Hobbies,7.52,White Landing Gear with Hardware for the 200 SR X
85B125C1,"Bloomingville AH0263 Wall Décor, White",Home & Kitchen | Home Décor ,Home Décor | Kids' Room Décor | Lamps & Lighting | Bedding & More,87.33,Material: Iron | Lightweight making it easy to hang | Perfect for any room in your home | Package weight: 9.450000000000001 lb
13C4191C,Blue Tang Fish Inflate,Toys & Games | Dress Up,"Pretend Play | Wigs, Masks, Accessories | Costumes | Kitchen Playsets",5.71,"Size: 27"" L. (inflated) | Made of vinyl | Ages 3 yrs. and older"
0AC4E117,Bobble Hedz Bill Clinton Mask,Toys & Games | Dress Up,"Pretend Play | Wigs, Masks, Accessories | Costumes | Kitchen Playsets",11.99,"Jumbo oversize political mask | Features realistic photo image of bill clinton's face | Measures approximately 17"" x 11"" | One size, attaches with elastic strap | Made of 100% vinyl"
86DB3EEE,BSN Sports Corner Flag Carry Bag,Sports & Outdoors | Sports & Fitness,Leisure Sports & Game Room | Outdoor Games & Activities | Hunting & Fishing | Other Sports,9.86,Carries corner flags or coaching sticks | Offered in Black Only | A must have for any soccer coach or league
490DF829,Buffalo Games - New York Twilight - 300 Large Piece Jigsaw Puzzle,Toys & Games | Learning & Education,Musical Instruments | Reading & Writing | Telescope | Counting & Math Toys | Puzzles,13.77,300 large piece jigsaw puzzle | Finished size is 21.25 x 15 inches | Bonus poster included for help in solving | Manufactured from premium quality materials | Made in the USA
EBB2F39D,Buffalo Games - Travel The USA - 300 Large Piece Jigsaw Puzzle,Toys & Games | Learning & Education,Musical Instruments | Reading & Writing | Telescope | Counting & Math Toys | Puzzles,11.99,300 large piece jigsaw puzzle | Finished size is 21.25 x 15 inches | Bonus poster included for help in solving | Manufactured from premium quality materials | Made in the USA
628E0E0F,BuitenSpeel Toys Croquet Jr. Outdoor Game,Sports & Outdoors | Sports & Fitness,Leisure Sports & Game Room | Outdoor Games & Activities | Hunting & Fishing | Other Sports,29.99,Play the ball through the hoops in the least possible turns | Can you do it?
3D33AB2B,"Burton & Burton 260Q Neon Green Pencil Balloons, Pack Of 100",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",10.53,Latex | Made in USA | Enter Your Model Number | Above To Make Sure This Fits | Great For Parties And Other Special Occasions | Fill With Air | Qualatex - The Very Best Balloons
F48FBF54,Busch 1681 Cable Roll Load 4/ HO Scenery Scale Model Scenery,Toys & Games | Hobbies,Remote & App Controlled Vehicles & Parts | Trains & Accessories | Electronics | Systems & Accessories | Model Kits | Misc. Hobbies,10.59,Designed for use in model railway or diaramas | HO scale (1: 87) | Accurate scale 1681 | Not a toy; designed for collectors over the age of 14
8FAE14DF,Busch 6028 City Sign Set HO Signals Scale Model Signals,Toys & Games | Hobbies,Remote & App Controlled Vehicles & Parts | Trains & Accessories | Electronics | Systems & Accessories | Model Kits | Misc. Hobbies,14.13,Designed for use in model railway or diaramas | HO scale (1: 87) | Accurate scale 6028 | Not a toy; designed for collectors over the age of 14
6E83DF6A,"California Costumes American Patriot Child Costume, Medium","Clothing, Shoes & Jewelry | Boys",Costumes & Accessories | Kids & Baby | Boys,27.27,"100% Polyester | Imported | Jacket with Attached Vest, Cravat, Chest Belt, Boot Tops | Jacket | Cravat"
4726B493,"California Costumes Evil Spirit Child Costume, Medium",Toys & Games | Dress Up,"Pretend Play | Wigs, Masks, Accessories | Costumes | Kitchen Playsets",31.14,Polyester | Robe With Attached Hood | Mask | Robe
25A1D4D4,"California Costumes The Virgin Mary Child Costume, X-Large","Clothing, Shoes & Jewelry | Girls",Costumes & Accessories | Kids & Baby | Girls,29.47,"100% Polyester | ""Linen"" Screen Printed Dress with Attached Waist Tie and Cape | Matching Headpiece | Sandals not included.The dress is cream color"
962538DE,"Camouflage Pencils, Party Favor",Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",12.38,"12 pencils | Camouflage design wraparound the pencils | Use these supplies in military-themed celebrations | Acquire these for parties, festivals, events and other fun occasions"
679BAB75,Cardinal Industries USA Map Puzzle,Toys & Games | Learning & Education,Musical Instruments | Reading & Writing | Telescope | Counting & Math Toys | Puzzles,5.98,"Puzzles are a fun way to reinforce critical thinking, creativity, and fine motor skills"
45A21DDA,Cardinal L.O.L. Surprise! 48Piece Color Swap Puzzle,Toys & Games | Learning & Education,Musical Instruments | Reading & Writing | Telescope | Counting & Math Toys | Puzzles,12.99,"Rub the puzzle and watch it change color! | Great gift for any L.O.L. Surprise! Fan | Measures 11.25"" X 15"" When complete | Recommended for ages 4 and up | 48 puzzle pieces"
C0A90E7B,Carson Dellosa 3200 Big Rainbow Bulletin Board Set,Toys & Games | Learning & Education,Musical Instruments | Reading & Writing | Telescope | Counting & Math Toys | Puzzles,17.53,"Rainbow, approx. 44"" x 24"" | 7 clouds, 38 raindrops, and a sun | Resource guide"
D7402FC8,Carson Dellosa Frogs Motivational Stickers (0617),Toys & Games | Arts & Crafts,"Drawing & Painting Supplies | Pencils, Erasers, Adhesives | Easels | Stickers | Jewelry",5.59,"Many ways to motivate | Acid free and lignin free | 120 stickers per pack | Sticker Size: 1"" x 1"""
7085142B,Carson Dellosa Student Sticks Manipulative (146000),Toys & Games | Arts & Crafts,"Drawing & Painting Supplies | Pencils, Erasers, Adhesives | Easels | Stickers | Jewelry",7.49,"30 sticks per pack | Puzzle stock | Approx. 2"" x 5 1/2 "" | 30 sticks, 15"" x 55"" each | Puzzle stock | Write-on wipe-away surface"
1046FF38,Carstens Muddy Girl Slumber Bag with Lab Pillow,Toys & Games | Sports & Outdoor Play,Toy Sports | Pools & Water Toys | Play Sets | Misc. Outdoor Items,49,"100% Polyester | Imported | Authentic muddy Girl Camo print on 100Percent polyester suede top | Lined and backed with poly taffeta | Include plush Black Lab puppy pillow | Machine wash warm, tumble dry low"
2CEC38DB,Cat X-Trac Front Loader Pedal Tractor,Toys & Games | Vehicles,"Play Vehicles | Toy Vehicles, Die-Cast Vehicles | Tricycles, Scooters & Wagons | Ride-On Toys & Accessories",189.99,High impact blow molded resin body | Fully working front load bucket | Fully enclosed chain drive system | Made in Germany
78ECAE34,Ceaco Strawberry Shortcake On Her Vespa Puzzle (60Piece),Toys & Games | Learning & Education,Musical Instruments | Reading & Writing | Telescope | Counting & Math Toys | Puzzles,7.99,Strawberry Shortcake on her Vespa puzzle | 60 puzzle pieces | Puzzle assembled is 11 inches x 15 inches when completed | Made in the USA | For age 5 +
C31C86AA,Celtic Dice Bag Board Game,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,6.99,Age: 3 - 99 | Playing Time: min | Number of Players:
DA5B622B,Champion Sports Rhino Mini Promax Ball,Sports & Outdoors | Sports & Fitness,Leisure Sports & Game Room | Outdoor Games & Activities | Hunting & Fishing | Other Sports,37.12,"10"" Mini Rhino ProMax ball | 6 lbs."
457DCCCC,"Chase 499-0521 Snow Frost Aerosol Spray, 9-Ounce",Toys & Games | Arts & Crafts,"Drawing & Painting Supplies | Pencils, Erasers, Adhesives | Easels | Stickers | Jewelry",19.99,Specially formulated for decorating all glass and mirror surfaces | Guaranteed easy cleanup | Test before using on plexiglass plastic or painted surfaces | Danger: extremely flammable | Harmful or fatal if swallowed
197994D2,Chessex CHX25311 Dice-Speckled Arctic Camo Set,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,5.95,All dice read from the top for easy comprehension | Sharp edges for easy shape recognition | Numbers are as large as possible on each face
90892465,"Chessex CHX27449 Dice-Festive Set, Rio/Yellow",Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,9.77,All dice read from the top for easy comprehension | Sharp edges for easy shape recognition | Numbers are as large as possible on each face
1CF5E185,Chessex CHX27515 Dice-Vortex Slime/Yellow Set,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,9.9,All dice read from the top for easy comprehension | Sharp edges for easy shape recognition | Numbers are as large as possible on each face
660441BA,"Chic Jeans & Peasant Blouse - Fits 18"" American Girl Dolls",Toys & Games | Dolls,Dolls & Accessories | Playsets,17.15,"Fits 18"" American Girl Dolls | Ivory peasant style blouse with floral embroidery and beads | Denim jeans with lacings | Includes: Blouse and Jeans"
89B65470,Chuckle Buddies Longhorn Electronic Plush,Toys & Games,Stuffed Animals & Plush Toys | Action Figures | Collectible Toys | Playsets,19.99,100% Polyester | Imported | Motion Activated | Laughs and rolls around | World Famous Chuckle Buddies
C2D20C05,"Clank!, Base",Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,45,For 2-4 Players | A fast and intense dungeon delving experience! | Push your luck to collect more treasure but watch out for the Dragon! | A perfect melding of map exploration and deck-building in one game!
EBB2F66F,Classic Operation Game,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,11.99,All-time skill and action game.
E4ABE6EF,Clear Latex Balloons Swirly Scrolls | Pack of 6 | Party Decor,Toys & Games | Party,"Party Supplies | Balloons, Noisemakers, Hats, Supplies",5.99,"6 balloons per pack | Each measures 12"" when inflated | Features an elegant scrolls and flowers design | Party decor for events and celebrations"
9D94F1C6,CLOVER Round Extra Small Yo-Yo Maker,Toys & Games | Sports & Outdoor Play,Toy Sports | Pools & Water Toys | Play Sets | Misc. Outdoor Items,4.49,Yo-Yo template | Easy to use | The Item Package Weight of the Product is: 0.05 lb | The Country of Origin: Japan
4C5AF837,CMON Looterz Game Board Game,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,22.16,"For 2-6 players | 20 minute playing time | Tons of different characters with unique, special abilities | Fast, silly action with a lot of backstabbing"
49E45B8F,CMON Queens Necklace Game,Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,24.59,For 2-4 Players | 30-45 minute playing time | Ages 13 and up
8D38B939,CMON Zombicide: Zombie Dogs Board Game (5 Set),Toys & Games | Games & Accessories,Games & Other Accessories | Card Games | Board Games | Dice,24.99,Item Weight - 0.42 lbs. Includes | 20 Zombie Dogs | Rules and cards for using Zombie Dogs in play | Package Quantity: 1 | Excellent Quality
